T_e (eV),LXCat Biagi_v10_6 [k_iz (m^3 s^-1)],Lallement Arrhenius [k_iz (m^3 s^-1)]
6.518295739348,5.050751378e-15,9.727287401e-15
6.541353383459,5.115862113e-15,9.827894343e-15
6.564411027569,5.181397483e-15,9.928840366e-15
6.587468671679,5.247356502e-15,1.003012198e-14
6.610526315789,5.313738173e-15,1.01317357e-14
6.6335839599,5.380541486e-15,1.023367807e-14
6.65664160401,5.447765418e-15,1.033594563e-14
6.67969924812,5.515408933e-15,1.043853495e-14
6.702756892231,5.583470984e-15,1.054144261e-14
6.725814536341,5.651950513e-15,1.064466521e-14
6.748872180451,5.720846449e-15,1.074819935e-14
6.771929824561,5.79015771e-15,1.085204166e-14
6.794987468672,5.859883204e-15,1.095618878e-14
6.818045112782,5.930021827e-15,1.106063737e-14
6.841102756892,6.000572467e-15,1.11653841e-14
6.864160401003,6.071533999e-15,1.127042566e-14
6.887218045113,6.14290529e-15,1.137575876e-14
6.910275689223,6.214685197e-15,1.148138011e-14
6.933333333333,6.286872568e-15,1.158728646e-14
6.956390977444,6.359466241e-15,1.169347456e-14
6.979448621554,6.432465045e-15,1.179994118e-14
7.002506265664,6.505867802e-15,1.190668311e-14
7.025563909774,6.579673324e-15,1.201369716e-14
7.048621553885,6.653880415e-15,1.212098015e-14
7.071679197995,6.728487872e-15,1.222852891e-14
7.094736842105,6.803494484e-15,1.233634031e-14
7.117794486216,6.878899032e-15,1.244441122e-14
7.140852130326,6.95470029e-15,1.255273853e-14
7.163909774436,7.030897025e-15,1.266131915e-14
7.186967418546,7.107487996e-15,1.277015001e-14
7.210025062657,7.184471957e-15,1.287922805e-14
7.233082706767,7.261847656e-15,1.298855024e-14
7.256140350877,7.339613833e-15,1.309811355e-14
7.279197994987,7.417769222e-15,1.320791499e-14
7.302255639098,7.496312553e-15,1.331795156e-14
7.325313283208,7.575242548e-15,1.34282203e-14
7.348370927318,7.654557926e-15,1.353871827e-14
7.371428571429,7.734257399e-15,1.364944253e-14
7.394486215539,7.814339675e-15,1.376039017e-14
7.417543859649,7.894803456e-15,1.387155829e-14
7.440601503759,7.975647439e-15,1.398294402e-14
7.46365914787,8.056870319e-15,1.40945445e-14
7.48671679198,8.138470783e-15,1.420635689e-14
7.50977443609,8.220447517e-15,1.431837836e-14
7.532832080201,8.302799202e-15,1.443060611e-14
7.555889724311,8.385524514e-15,1.454303736e-14
7.578947368421,8.468622126e-15,1.465566933e-14
7.602005012531,8.552090708e-15,1.476849928e-14
7.625062656642,8.635928926e-15,1.488152447e-14
7.648120300752,8.720135443e-15,1.499474218e-14
7.671177944862,8.804708919e-15,1.510814973e-14
7.694235588972,8.88964801e-15,1.522174443e-14
7.717293233083,8.974951372e-15,1.533552362e-14
7.740350877193,9.060617654e-15,1.544948467e-14
7.763408521303,9.146645507e-15,1.556362493e-14
7.786466165414,9.233033577e-15,1.567794181e-14
7.809523809524,9.319780508e-15,1.579243272e-14
7.832581453634,9.406884943e-15,1.590709509e-14
7.855639097744,9.494345522e-15,1.602192636e-14
7.878696741855,9.582160884e-15,1.6136924e-14
7.901754385965,9.670329665e-15,1.625208549e-14
7.924812030075,9.758850502e-15,1.636740832e-14
7.947869674185,9.847722026e-15,1.648289003e-14
7.970927318296,9.936942872e-15,1.659852813e-14
7.993984962406,1.002651167e-14,1.671432019e-14
8.017042606516,1.011642705e-14,1.683026378e-14
8.040100250627,1.020668764e-14,1.694635647e-14
8.063157894737,1.029729208e-14,1.706259588e-14
8.086215538847,1.038823898e-14,1.717897963e-14
8.109273182957,1.047952698e-14,1.729550535e-14
8.132330827068,1.057115469e-14,1.741217071e-14
8.155388471178,1.066312076e-14,1.752897338e-14
8.178446115288,1.07554238e-14,1.764591105e-14
8.201503759398,1.084806244e-14,1.776298142e-14
8.224561403509,1.09410353e-14,1.788018222e-14
8.247619047619,1.103434101e-14,1.79975112e-14
8.270676691729,1.11279782e-14,1.811496611e-14
8.29373433584,1.122194549e-14,1.823254472e-14
8.31679197995,1.13162415e-14,1.835024484e-14
8.33984962406,1.141086487e-14,1.846806426e-14
8.36290726817,1.150581422e-14,1.858600082e-14
8.385964912281,1.160108818e-14,1.870405235e-14
8.409022556391,1.169668537e-14,1.882221672e-14
8.432080200501,1.179260442e-14,1.894049179e-14
8.455137844612,1.188884396e-14,1.905887547e-14
8.478195488722,1.198540263e-14,1.917736566e-14
8.501253132832,1.208227906e-14,1.929596027e-14
8.524310776942,1.217947186e-14,1.941465726e-14
8.547368421053,1.227697969e-14,1.953345458e-14
8.570426065163,1.237480117e-14,1.965235019e-14
8.593483709273,1.247293494e-14,1.977134209e-14
8.616541353383,1.257137964e-14,1.989042828e-14
8.639598997494,1.26701339e-14,2.000960677e-14
8.662656641604,1.276919637e-14,2.012887561e-14
8.685714285714,1.286856568e-14,2.024823285e-14
8.708771929825,1.296824048e-14,2.036767654e-14
8.731829573935,1.306821941e-14,2.048720477e-14
8.754887218045,1.316850112e-14,2.060681564e-14
8.777944862155,1.326908426e-14,2.072650726e-14
8.801002506266,1.336996748e-14,2.084627775e-14
8.824060150376,1.347114942e-14,2.096612526e-14
8.847117794486,1.357262875e-14,2.108604794e-14
8.870175438596,1.367440412e-14,2.120604397e-14
8.893233082707,1.377647418e-14,2.132611153e-14
8.916290726817,1.38788376e-14,2.144624882e-14
8.939348370927,1.398149303e-14,2.156645407e-14
8.962406015038,1.408443915e-14,2.168672549e-14
8.985463659148,1.418767462e-14,2.180706134e-14
9.008521303258,1.42911981e-14,2.192745988e-14
9.031578947368,1.439500828e-14,2.204791937e-14
9.054636591479,1.449910381e-14,2.216843812e-14
9.077694235589,1.460348339e-14,2.228901441e-14
9.100751879699,1.470814568e-14,2.240964657e-14
9.12380952381,1.481308938e-14,2.253033293e-14
9.14686716792,1.491831315e-14,2.265107183e-14
9.16992481203,1.502381569e-14,2.277186162e-14
9.19298245614,1.51295957e-14,2.289270069e-14
9.216040100251,1.523565185e-14,2.301358742e-14
9.239097744361,1.534198284e-14,2.31345202e-14
9.262155388471,1.544858738e-14,2.325549746e-14
9.285213032581,1.555546416e-14,2.337651761e-14
9.308270676692,1.566261189e-14,2.349757909e-14
9.331328320802,1.577002927e-14,2.361868036e-14
9.354385964912,1.587771501e-14,2.373981989e-14
9.377443609023,1.598566782e-14,2.386099615e-14
9.400501253133,1.609388642e-14,2.398220763e-14
9.423558897243,1.620236952e-14,2.410345285e-14
9.446616541353,1.631111586e-14,2.422473031e-14
9.469674185464,1.642012414e-14,2.434603855e-14
9.492731829574,1.65293931e-14,2.446737611e-14
9.515789473684,1.663892147e-14,2.458874156e-14
9.538847117794,1.674870798e-14,2.471013344e-14
9.561904761905,1.685875137e-14,2.483155036e-14
9.584962406015,1.696905038e-14,2.495299089e-14
9.608020050125,1.707960376e-14,2.507445366e-14
9.631077694236,1.719041024e-14,2.519593726e-14
9.654135338346,1.730146859e-14,2.531744034e-14
9.677192982456,1.741277754e-14,2.543896153e-14
9.700250626566,1.752433587e-14,2.556049949e-14
9.723308270677,1.763614233e-14,2.568205289e-14
9.746365914787,1.774819568e-14,2.580362039e-14
9.769423558897,1.786049469e-14,2.59252007e-14
9.792481203008,1.797303814e-14,2.604679251e-14
9.815538847118,1.808582479e-14,2.616839453e-14
9.838596491228,1.819885342e-14,2.629000549e-14
9.861654135338,1.831212281e-14,2.641162412e-14
9.884711779449,1.842563176e-14,2.653324917e-14
9.907769423559,1.853937904e-14,2.665487939e-14
9.930827067669,1.865336344e-14,2.677651356e-14
9.953884711779,1.876758377e-14,2.689815045e-14
9.97694235589,1.888203882e-14,2.701978886e-14
10.0,1.89967274e-14,2.714142759e-14
