T_e (eV),LXCat Biagi_v10_6 [k_att (m^3 s^-1)],Lallement Arrhenius [k_att (m^3 s^-1)]
9.14686716792,4.131905711e-16,1.019197223e-16
9.16992481203,4.11972589e-16,1.013085635e-16
9.19298245614,4.107609314e-16,1.006973112e-16
9.216040100251,4.095555497e-16,1.000860143e-16
9.239097744361,4.083563954e-16,9.947472164e-17
9.262155388471,4.071634209e-16,9.886348172e-17
9.285213032581,4.059765788e-16,9.825234276e-17
9.308270676692,4.047958224e-16,9.76413527e-17
9.331328320802,4.036211053e-16,9.70305592e-17
9.354385964912,4.024523818e-16,9.642000961e-17
9.377443609023,4.012896064e-16,9.580975098e-17
9.400501253133,4.001327342e-16,9.519983006e-17
9.423558897243,3.989817209e-16,9.459029328e-17
9.446616541353,3.978365225e-16,9.398118674e-17
9.469674185464,3.966970953e-16,9.337255623e-17
9.492731829574,3.955633964e-16,9.276444718e-17
9.515789473684,3.94435383e-16,9.21569047e-17
9.538847117794,3.933130129e-16,9.154997355e-17
9.561904761905,3.921962444e-16,9.094369814e-17
9.584962406015,3.91085036e-16,9.033812252e-17
9.608020050125,3.899793467e-16,8.973329036e-17
9.631077694236,3.888791361e-16,8.9129245e-17
9.654135338346,3.877843639e-16,8.852602937e-17
9.677192982456,3.866949904e-16,8.792368604e-17
9.700250626566,3.856109762e-16,8.73222572e-17
9.723308270677,3.845322824e-16,8.672178465e-17
9.746365914787,3.834588703e-16,8.612230978e-17
9.769423558897,3.823907017e-16,8.55238736e-17
9.792481203008,3.813277388e-16,8.492651671e-17
9.815538847118,3.80269944e-16,8.433027932e-17
9.838596491228,3.792172804e-16,8.373520121e-17
9.861654135338,3.781697111e-16,8.314132175e-17
9.884711779449,3.771271998e-16,8.254867989e-17
9.907769423559,3.760897104e-16,8.195731417e-17
9.930827067669,3.750572072e-16,8.13672627e-17
9.953884711779,3.740296548e-16,8.077856314e-17
9.97694235589,3.730070183e-16,8.019125274e-17
10.0,3.719892629e-16,7.96053683e-17
