composition,bias,r_cm,nF_m-3,nF_normalized
30pct_SF6,bias_on,1.0553598080104576,1.866035249645539e+20,0.9830196269612258
30pct_SF6,bias_on,1.3548185378002071,1.845057285580623e+20,0.9719685225335808
30pct_SF6,bias_on,1.652735815439179,1.8193990611147656e+20,0.9584518763460526
30pct_SF6,bias_on,1.9487834183683697,1.7894206597601214e+20,0.9426593788987863
30pct_SF6,bias_on,2.2426415016516534,1.7555372350865274e+20,0.9248097313698168
30pct_SF6,bias_on,2.5339999298610736,1.7182089920691064e+20,0.9051453678305571
30pct_SF6,bias_on,2.822559518817317,1.6779293270268258e+20,0.8839262074146393
30pct_SF6,bias_on,3.1080331773526955,1.6352114789687722e+20,0.8614226223025195
30pct_SF6,bias_on,3.3901469407971856,1.5905742845854125e+20,0.8379079335099788
30pct_SF6,bias_on,3.668640889506067,1.5445278273520085e+20,0.8136508508953469
30pct_SF6,bias_on,3.9432699474146715,1.4975598720063088e+20,0.7889083268986372
30pct_SF6,bias_on,4.213804557286315,1.4501239387067906e+20,0.7639192740575895
30pct_SF6,bias_on,4.480031230979536,1.4026296983121081e+20,0.738899505280737
30pct_SF6,bias_on,4.741752974668693,1.3554360804987082e+20,0.7140381032323612
30pct_SF6,bias_on,4.9987895904789985,1.3088471551771835e+20,0.6894952506797156
30pct_SF6,bias_on,5.250977857418331,1.2631105395211344e+20,0.66540139132244
30pct_SF6,bias_on,5.498171595782775,1.218417832116897e+20,0.6418574585008354
30pct_SF6,bias_on,5.74024162036436,1.1749064005727022e+20,0.6189358169009525
30pct_SF6,bias_on,5.977075588786137,1.132661721306281e+20,0.5966814951449929
30pct_SF6,bias_on,6.208577752123996,1.0917193241219947e+20,0.5751132101864743
30pct_SF6,bias_on,6.4346686156434405,1.0520651064063046e+20,0.5542235328270989
30pct_SF6,bias_on,6.655284517983848,1.0136321095860994e+20,0.533977189568376
30pct_SF6,bias_on,6.870377137466866,9.762902573110973e+19,0.5143056567286901
30pct_SF6,bias_on,7.079912934397284,9.398217511305973e+19,0.4950941989879009
30pct_SF6,bias_on,7.283872538273989,9.038655619431463e+19,0.47615262771334466
30pct_SF6,bias_on,7.48225008874786,8.677914022337366e+19,0.45714891005730374
30pct_SF6,bias_on,7.6750525389663204,8.304050762721454e+19,0.43745394866405285
30pct_SF6,bias_on,7.862298929645567,7.989210567023483e+19,0.42086829778815393
30pct_SF6,bias_on,8.044019641826567,7.714840057840889e+19,0.4064145732062057
30pct_SF6,bias_on,8.220255635814988,7.471189181707837e+19,0.39357914614711964
30pct_SF6,bias_on,8.391057683293472,7.2523972792578925e+19,0.38205327950717616
30pct_SF6,bias_on,8.556485599041498,7.0545382934419505e+19,0.3716301502300277
30pct_SF6,bias_on,8.716607478116956,6.874758192480045e+19,0.3621594091057004
30pct_SF6,bias_on,8.871498943756958,6.710855037148097e+19,0.35352505888949814
30pct_SF6,bias_on,9.021242410654596,6.5610555482585416e+19,0.345633683969589
30pct_SF6,bias_on,9.165926367673084,6.4238866348807406e+19,0.3384076825269616
30pct_SF6,bias_on,9.305644683477583,6.298096448253233e+19,0.3317811076882792
30pct_SF6,bias_on,9.44049593800507,6.182603045952794e+19,0.32569696317560576
30pct_SF6,bias_on,9.57058278215975,6.076459359723954e+19,0.32010535782620075
30pct_SF6,bias_on,9.696011327620301,5.978828278681197e+19,0.314962192985949
30pct_SF6,bias_on,9.816890568178785,5.888964282697349e+19,0.3102281949638823
30pct_SF6,bias_on,9.933331833602182,5.806199478775777e+19,0.3058681794340601
30pct_SF6,bias_on,10.045448276616877,5.729932696372195e+19,0.30185047698164696
30pct_SF6,bias_on,10.153354393265081,5.659620771479924e+19,0.29814647395214067
30pct_SF6,bias_on,10.257165576569625,5.594771438990071e+19,0.2947302380238554
30pct_SF6,bias_on,10.356997703168924,5.534937435584699e+19,0.2915782075507805
30pct_SF6,bias_on,10.452966752345947,5.479711533942456e+19,0.2886689299665941
